id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,mag_v,merr_v,mag_b,merr_b,resid_m4_b,resid_m4_v,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4
3.0,13.209000000000001,0.13,0.0,0.841258,12.992,0.065,12.865,0.10400000000000001,12.849,0.085,12.713,0.07,14.413,0.231,,,,,,,,,
4.0,13.469000000000001,0.11,0.0,0.62732,13.26,0.13699999999999998,13.161,0.06,13.023,0.09,13.012,0.098,14.492,0.3,14.974,0.45,0.1066086956532537,0.10631818181817998,-0.06320956294969449,-0.11838333434869774,-0.08229501044927368,0.4266888642969544,0.09623486212855425
5.0,13.788,0.17300000000000001,0.0,0.515274,13.632,0.27899999999999997,13.52,0.128,13.383,0.07400000000000001,13.333,0.067,14.783,0.29100000000000004,15.3,0.44299999999999995,-0.2193913043467468,-0.1846818181818186,-0.21293132082077548,-0.2990587588178304,-0.24697965325535165,0.26920750833811447,-0.023528257400167618
7.0,13.324000000000002,0.115,0.0,0.713,13.06,0.11199999999999999,12.987,0.096,,,,,,,,,,,,,,,
8.0,13.634,0.166,0.0,0.521329,13.353,0.142,13.296,0.10800000000000001,,,,,14.745999999999999,0.377,15.177,0.514,,,,,,,
9.0,13.742,0.08,0.0,0.5234800000000001,13.505,0.08800000000000001,13.448,0.048,13.31,0.027000000000000003,13.27,0.055,14.796,0.312,15.327,0.46799999999999997,-0.24639130434674605,-0.1976818181818185,-0.1805246746217417,-0.18742247368929021,-0.19058353338831147,0.32594488920217835,0.023312051433112657
10.0,13.581,0.049,1.0,0.374976,13.398,0.052000000000000005,13.344000000000001,0.031,13.344000000000001,0.027000000000000003,13.167,0.037000000000000005,14.491,0.13,14.917,0.201,0.013360000000753658,0.10194736842106877,-0.026320566119089506,-0.07826183106761597,-0.04737172595678629,-0.012009030777820229,-0.0005708437499887253
11.0,13.505,0.087,0.0,0.564789,13.309000000000001,0.11699999999999999,13.222999999999999,0.081,,,,,14.552,0.244,14.939,0.332,,,,,,,
12.0,13.606,0.063,1.0,0.386769,13.4,0.11599999999999999,13.311,0.049,13.169,0.026000000000000002,13.452,0.133,14.532,0.153,14.949000000000002,0.21600000000000003,-0.018639999999248147,0.060947368421068404,-0.08441655085612076,-0.11651813941830191,-0.05089699801927061,0.12724569192391755,-0.32563298862264745
13.0,13.343,0.132,0.0,0.669039,13.09,0.1,13.039000000000001,0.081,12.902999999999999,0.071,12.843,0.083,14.495999999999999,0.282,15.015,0.405,0.06560869565325333,0.1023181818181822,0.007397119045840839,-0.010990925975146837,-0.02388128260583855,0.48041821125779194,0.19938364360229777
14.0,13.612,0.065,1.0,0.377114,13.334000000000001,0.032,13.354000000000001,0.042,,,,,14.527000000000001,0.168,14.915,0.24,,,,,,,
15.0,13.234000000000002,0.1,0.0,0.810642,12.960999999999999,0.115,12.917,0.083,,,,,14.415999999999999,0.209,14.965,0.32,,,,,,,
16.0,13.677999999999999,0.065,1.0,0.330202,13.505,0.061,13.440999999999999,0.044000000000000004,,,,,14.577,0.18100000000000002,14.943,0.254,,,,,,,
18.0,13.368,0.1,0.0,0.621689,13.164000000000001,0.09,13.116,0.075,,,,,14.610999999999999,0.33399999999999996,15.023,0.45399999999999996,,,,,,,
19.0,13.886,0.049,1.0,0.299551,13.73,0.04,13.642000000000001,0.03,13.776,0.049,14.269,0.14800000000000002,14.841,0.16399999999999998,15.205,0.22899999999999998,-0.2746399999992466,-0.24805263157893087,-0.09129259573954052,-0.14731367660062666,-0.08047291752490793,-0.18476711884411756,-0.8120209356798238
20.0,13.437999999999999,0.115,0.0,0.615559,13.229000000000001,0.062,13.197000000000001,0.121,13.088,0.08900000000000001,12.962,0.086,14.62,0.324,15.081,0.42700000000000005,-0.00039130434674561343,-0.021681818181818358,-0.015926835797976935,-0.06897998952654127,-0.09960398493539202,0.38116895685100083,0.165591662957576
21.0,13.577,0.07200000000000001,1.0,0.380812,13.413,0.051,13.375,0.063,13.300999999999998,0.039,13.198,0.018000000000000002,14.366,0.156,,,,,,,,,
22.0,13.557,0.062,1.0,0.3960550000000001,13.384,0.061,13.286,0.040999999999999995,,,,,14.552,0.12300000000000001,14.949000000000002,0.215,,,,,,,
23.0,13.800999999999998,0.19899999999999998,0.0,0.5108699999999999,13.748,0.313,13.498,0.154,,,,,14.907,0.29600000000000004,15.380999999999998,0.43799999999999994,,,,,,,
24.0,13.42,0.07200000000000001,1.0,0.462278,13.198,0.047,13.127,0.055,,,,,14.485999999999999,0.138,14.895999999999999,0.182,,,,,,,
25.0,13.52,0.149,0.0,0.588364,13.296,0.09699999999999999,13.202,0.132,14.186,0.019,13.187000000000001,0.08,14.519,0.297,14.997,0.434,0.08360869565325402,0.07931818181818073,-0.05905249689680758,-0.09204276347923113,-0.05997993311244265,-0.670323126341442,-0.013194774138712617
26.0,13.263,0.10300000000000001,0.0,0.78472,13.008,0.065,12.921,0.077,,,,,14.515,0.18,15.073,0.262,,,,,,,
27.0,13.481,0.083,0.0,0.61568,13.149000000000001,0.073,13.152999999999999,0.075,,,,,14.769,0.17800000000000002,15.292,0.26,,,,,,,
30.0,13.515,0.036000000000000004,1.0,0.40441,13.309000000000001,0.044000000000000004,13.264000000000001,0.036000000000000004,13.187000000000001,0.028999999999999998,13.061,0.027999999999999997,14.489,0.124,14.83,0.17600000000000002,0.1003600000007534,0.10394736842106767,-0.04108668303533847,-0.07774027527980998,-0.05650653844948472,0.05775962474294971,0.007663100868661843
32.0,13.515,0.14400000000000002,0.0,0.620373,13.335,0.172,13.152000000000001,0.105,,,,,14.574000000000002,0.324,15.025,0.44299999999999995,,,,,,,
33.0,13.389000000000001,0.109,0.0,0.602324,13.139000000000001,0.076,13.173,0.16399999999999998,,,,,14.597999999999999,0.336,14.975999999999999,0.45899999999999996,,,,,,,
34.0,13.277999999999999,0.055,0.0,0.733967,13.013,0.009000000000000001,12.967,0.087,,,,,14.503,0.231,15.037,0.354,,,,,,,
